,Grade,Year,Category,Number Tested
0,3,2006,Asian,9768
1,4,2006,Asian,9973
2,5,2006,Asian,9852
3,6,2006,Asian,9606
4,7,2006,Asian,9433
5,8,2006,Asian,9593
6,All Grades,2006,Asian,58225
7,3,2007,Asian,9750
8,4,2007,Asian,9881
9,5,2007,Asian,10111
10,6,2007,Asian,9808
11,7,2007,Asian,9779
12,8,2007,Asian,9734
13,All Grades,2007,Asian,59063
14,3,2008,Asian,9951
15,4,2008,Asian,9861
16,5,2008,Asian,10073
17,6,2008,Asian,10106
18,7,2008,Asian,9973
19,8,2008,Asian,9964
20,All Grades,2008,Asian,59928
42,3,2006,Black,23596
43,4,2006,Black,22801
44,5,2006,Black,23915
45,6,2006,Black,24497
46,7,2006,Black,25524
47,8,2006,Black,25896
48,All Grades,2006,Black,146229
49,3,2007,Black,22677
50,4,2007,Black,22291
51,5,2007,Black,22838
52,6,2007,Black,22603
53,7,2007,Black,24422
54,8,2007,Black,24951
55,All Grades,2007,Black,139782
56,3,2008,Black,21082
57,4,2008,Black,21918
58,5,2008,Black,21638
59,6,2008,Black,21732
60,7,2008,Black,23141
61,8,2008,Black,23489
62,All Grades,2008,Black,133000
84,3,2006,Hispanic,29329
85,4,2006,Hispanic,28802
86,5,2006,Hispanic,29860
87,6,2006,Hispanic,29281
88,7,2006,Hispanic,30165
89,8,2006,Hispanic,29945
90,All Grades,2006,Hispanic,177382
91,3,2007,Hispanic,29026
92,4,2007,Hispanic,28563
93,5,2007,Hispanic,28784
94,6,2007,Hispanic,28275
95,7,2007,Hispanic,29304
96,8,2007,Hispanic,29857
97,All Grades,2007,Hispanic,173809
98,3,2008,Hispanic,28253
99,4,2008,Hispanic,28393
100,5,2008,Hispanic,28071
101,6,2008,Hispanic,27760
102,7,2008,Hispanic,28770
103,8,2008,Hispanic,28710
104,All Grades,2008,Hispanic,169957
126,3,2006,White,10393
127,4,2006,White,10574
128,5,2006,White,10442
129,6,2006,White,10182
130,7,2006,White,10016
131,8,2006,White,10470
132,All Grades,2006,White,62077
133,3,2007,White,10304
134,4,2007,White,10108
135,5,2007,White,10364
136,6,2007,White,9869
137,7,2007,White,9909
138,8,2007,White,9923
139,All Grades,2007,White,60477
140,3,2008,White,10361
141,4,2008,White,10081
142,5,2008,White,9931
143,6,2008,White,9802
144,7,2008,White,9758
145,8,2008,White,9871
146,All Grades,2008,White,59804
